Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
B1,25/07/2025,19:45,Antwerp,St. Gilloise,1,1,D,1,0,H,8,17,4,8,9,16,2,5,3,3,0,0,4,3.4,1.9,3.9,3.5,1.91,4.26,3.53,1.93,3.87,3.45,1.9,4.33,3.7,1.8,4.47,3.6,1.87,4.29,3.54,1.79
B1,26/07/2025,15:00,Dender,Cercle Brugge,0,0,D,0,0,D,11,10,3,2,12,13,3,3,0,2,0,0,2.88,3.3,2.4,2.85,3.5,2.35,2.91,3.43,2.41,2.79,3.39,2.37,2.8,3.15,2.55,3.11,3.45,2.37,2.71,3.26,2.53
B1,26/07/2025,17:15,Waregem,Mechelen,1,1,D,0,1,A,21,7,5,2,8,8,9,6,3,2,0,0,3.2,3.5,2.15,3.2,3.65,2.12,3.25,3.64,2.14,3.13,3.54,2.11,3.3,3.65,2.04,3.22,3.83,2.17,3.13,3.65,2.08
B1,26/07/2025,19:45,RAAL La Louviere,Standard,0,2,A,0,2,A,14,9,2,4,15,12,5,1,2,1,0,0,2.6,3.25,2.7,2.63,3.35,2.6,2.62,3.26,2.77,2.54,3.26,2.65,2.9,2.85,2.75,2.81,3.04,2.87,2.71,3.26,2.53
B1,27/07/2025,12:30,Anderlecht,Westerlo,5,2,H,2,0,H,25,10,10,4,14,14,8,3,4,3,0,0,1.73,3.7,4.5,1.67,4,4.6,1.75,3.91,4.39,1.7,3.86,4.37,1.72,3.95,4.35,1.75,4.03,4.63,1.75,3.84,4.16
B1,27/07/2025,15:00,Oud-Heverlee Leuven,Charleroi,2,2,D,1,0,H,7,15,3,7,15,14,4,8,2,2,0,0,2.75,3.3,2.45,2.8,3.35,2.45,2.91,3.37,2.45,2.79,3.3,2.4,2.48,3.3,2.8,3.02,3.29,2.51,2.94,3.23,2.83
B1,27/07/2025,17:30,Club Brugge,Genk,2,1,H,0,1,A,18,17,4,10,10,7,8,6,1,2,1,0,1.73,3.8,4.33,1.68,4,4.6,1.78,3.89,4.28,1.73,3.82,4.29,1.65,3.75,5.2,1.67,4.1,5.13,1.62,3.99,4.92
B1,27/07/2025,18:15,St Truiden,Gent,3,1,H,0,0,D,14,12,5,2,13,10,4,6,1,1,0,0,2.05,3.4,3.4,1.98,3.65,3.5,2.09,3.6,3.39,2.04,3.55,3.29,2.07,3.7,3.2,2.17,3.79,3.23,2.11,3.63,3.12
B1,01/08/2025,19:45,Mechelen,Club Brugge,2,1,H,1,0,H,9,20,5,6,11,7,2,3,4,0,0,0,3.7,3.8,1.85,4.2,3.9,1.75,3.95,3.96,1.88,3.82,3.83,1.83,4.4,3.8,1.74,4.52,4,1.77,4.2,3.91,1.73
B1,02/08/2025,15:00,Westerlo,Waregem,3,1,H,2,1,H,13,12,6,4,7,10,3,5,1,1,0,0,1.8,3.7,4,1.76,4,4,1.83,4.06,3.86,1.9,4.2,4,1.88,3.9,3.6,1.91,3.91,3.3,2.11,3.78,3.17,2.14
B1,02/08/2025,17:15,Standard,Dender,1,1,D,0,0,D,10,9,6,2,11,13,5,1,3,3,0,0,1.9,3.3,4.2,1.84,3.4,4.4,1.89,3.47,4.24,1.93,3.55,4.5,2,3.4,3.7,2.32,3.3,3.67,2.32,3.14,3.25,2.36
B1,02/08/2025,19:45,Gent,RAAL La Louviere,1,0,H,0,0,D,11,5,6,1,12,19,5,2,0,1,0,0,1.7,3.4,5.25,1.68,3.95,4.6,1.69,3.89,4.82,1.7,3.76,4.56,1.68,3.75,4.9,1.75,3.75,5.06,1.69,3.65,4.89
B1,03/08/2025,12:30,Genk,Antwerp,1,1,D,1,1,D,15,6,3,5,11,10,4,2,0,2,0,0,1.6,4.1,5,1.55,4.4,5.1,1.65,4.4,5.33,1.58,4.15,4.98,1.66,4,4.7,1.69,4.11,4.95,1.66,3.96,4.65
B1,03/08/2025,15:00,Cercle Brugge,Anderlecht,0,2,A,0,1,A,12,9,2,5,7,21,5,3,2,2,0,0,3,3.25,2.3,3.1,3.3,2.28,3.08,3.46,2.29,2.94,3.33,2.32,3.3,3.2,2.23,3.17,3.49,2.31,3.13,3.32,2.22
B1,03/08/2025,17:30,St. Gilloise,Oud-Heverlee Leuven,5,0,H,2,0,H,19,6,10,0,12,9,4,7,1,2,0,0,1.36,5,7.5,1.28,5.8,9,1.32,5.3,9.04,1.32,5.15,8.51,1.34,5,8.5,1.38,4.77,9.51,1.34,4.8,8.63
B1,03/08/2025,18:15,Charleroi,St Truiden,1,1,D,1,1,D,4,14,2,4,18,14,1,7,5,1,1,0,2,3.6,3.7,1.95,3.55,3.5,2.01,3.5,3.74,1.98,3.54,3.47,2,3.4,3.7,2.15,3.49,3.55,2.03,3.41,3.51
B1,08/08/2025,19:45,St Truiden,Dender,2,0,H,1,0,H,14,6,3,2,18,7,4,2,3,0,0,1,1.85,3.75,3.8,1.85,3.75,3.9,1.89,3.7,3.95,1.85,3.67,3.83,2.05,3.6,3.25,2.1,3.67,3.5,2.03,3.51,3.4
B1,09/08/2025,15:00,Club Brugge,Cercle Brugge,2,0,H,0,0,D,14,10,5,2,15,11,9,5,2,3,0,1,1.45,4.33,6.25,1.42,4.9,6.5,1.46,4.67,6.34,1.43,4.56,6.37,1.44,4.7,6.4,1.43,4.93,7.39,1.46,4.46,6.3
B1,09/08/2025,17:15,Westerlo,Mechelen,0,1,A,0,0,D,18,6,2,3,9,7,8,5,1,1,0,0,2.45,3.6,2.5,2.43,3.6,2.65,2.54,3.65,2.62,2.43,3.63,2.57,2.25,3.75,2.8,2.4,3.88,2.78,2.19,3.79,2.87
B1,09/08/2025,19:45,Gent,St. Gilloise,2,3,A,0,1,A,20,12,6,8,11,10,5,10,1,4,0,0,5,4.1,1.6,4.8,4.25,1.62,4.95,4.27,1.61,4.97,4.07,1.59,5.2,3.9,1.62,5.42,4.13,1.64,5.06,3.88,1.62
B1,10/08/2025,12:30,RAAL La Louviere,Charleroi,1,0,H,1,0,H,11,15,2,4,11,11,4,3,3,0,0,0,3.3,3.3,2.15,3.5,3.4,2.07,3.22,3.56,2.18,3.33,3.34,2.11,3.45,3.25,2.14,3.3,3.5,2.25,3.33,3.29,2.14
B1,10/08/2025,15:00,Anderlecht,Waregem,2,3,A,0,1,A,20,9,7,6,11,11,6,5,0,3,0,0,1.45,4.75,5.75,1.44,4.9,6,1.45,4.74,6.31,1.46,4.62,5.85,1.62,4.1,5,1.71,3.99,5.07,1.66,3.98,4.62
B1,10/08/2025,17:30,Standard,Genk,2,1,H,1,0,H,7,19,5,5,11,16,2,6,3,3,0,0,4.5,3.5,1.75,4,3.8,1.82,4.57,3.68,1.78,4.25,3.59,1.79,4.25,3.45,1.85,4.17,3.61,1.93,4.04,3.47,1.87
B1,10/08/2025,18:15,Antwerp,Oud-Heverlee Leuven,3,1,H,1,0,H,12,5,4,1,8,21,5,3,3,5,0,1,1.91,3.6,3.7,1.87,3.65,3.9,1.93,3.67,3.81,1.9,3.56,3.73,1.71,3.55,5.2,1.85,3.56,4.64,1.64,3.69,5.29
B1,15/08/2025,19:45,Oud-Heverlee Leuven,Genk,1,2,A,1,2,A,22,15,7,7,16,10,6,6,2,2,0,0,5,4,1.65,5.1,4.1,1.6,5.39,3.96,1.67,4.98,3.97,1.62,5,4.1,1.62,5.59,4.24,1.61,4.57,3.95,1.68
B1,16/08/2025,15:00,Waregem,Club Brugge,0,1,A,0,0,D,5,19,1,4,9,9,3,9,2,2,0,0,5.25,4.5,1.5,5.5,4.9,1.48,5.72,4.56,1.51,5.54,4.53,1.49,5.4,4.6,1.52,5.29,4.46,1.6,5.04,4.32,1.56
B1,16/08/2025,17:15,Mechelen,Gent,1,1,D,1,0,H,7,23,3,11,9,9,2,11,2,1,0,0,1.91,3.7,3.7,1.93,3.7,3.55,1.92,3.68,3.87,1.94,3.66,3.46,2.06,3.4,3.5,2.08,3.53,3.71,2.2,3.5,3.27
B1,16/08/2025,19:45,St. Gilloise,Standard,3,0,H,1,0,H,24,4,11,1,13,6,12,1,1,2,0,1,1.33,4.75,10,1.29,5.4,9.5,1.34,4.77,9.8,1.31,4.98,9.11,1.36,4.5,10,1.36,4.71,10.72,1.33,4.81,9.32
B1,17/08/2025,12:30,Dender,Anderlecht,0,2,A,0,0,D,8,17,4,5,7,12,2,7,1,1,0,0,3.8,3.7,1.95,3.7,3.8,1.88,3.75,3.68,1.94,3.67,3.61,1.91,3.2,3.55,2.12,4.02,3.8,1.91,3.18,3.48,2.13
B1,17/08/2025,15:00,St Truiden,RAAL La Louviere,2,1,H,1,0,H,13,11,7,5,14,9,4,5,1,2,0,0,1.67,3.5,5.5,1.58,4,5.4,1.65,3.86,5.23,1.63,3.78,5.1,1.63,3.85,5.2,1.7,3.96,5.09,1.68,3.75,4.82
B1,17/08/2025,17:30,Charleroi,Antwerp,1,1,D,1,1,D,13,10,4,5,18,17,4,1,3,3,0,0,2.35,3.4,2.9,2.23,3.55,2.95,2.36,3.27,3.14,2.27,3.39,2.95,2.45,3.2,2.88,2.58,3.18,3.02,2.45,3.4,3.25
B1,17/08/2025,18:15,Cercle Brugge,Westerlo,4,1,H,3,0,H,12,25,7,6,10,16,1,11,0,1,0,0,2.15,3.7,3,2.2,3.75,2.9,2.19,3.66,3.12,2.15,3.67,2.98,2.08,3.75,3.15,2.16,3.78,3.26,2.1,3.62,3.13
B1,23/08/2025,17:15,Standard,Cercle Brugge,0,3,A,0,3,A,15,18,3,9,4,12,4,3,1,3,0,0,2.45,3.2,2.88,2.32,3.45,2.95,2.49,3.28,2.92,2.42,3.25,2.83,2.65,3.2,2.65,2.84,3.18,2.73,2.7,3.21,2.57
B1,23/08/2025,19:45,Waregem,St Truiden,0,2,A,0,0,D,6,18,2,4,10,14,2,11,2,0,1,0,2.6,3.6,2.5,2.5,3.75,2.5,2.63,3.66,2.52,2.58,3.58,2.46,2.45,3.5,2.7,2.48,3.44,2.95,2.48,3.39,2.69
