Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,22/08/2025,19:30,Bayern Munich,RB Leipzig,6,0,H,3,0,H,19,12,10,1,13,13,5,5,4,1,0,0,1.22,7,9,1.23,7,10.5,1.26,7.5,12,1.21,7.13,10.3,1.25,7,9.75,1.26,7.5,11,1.23,6.98,9.87
D1,23/08/2025,14:30,Ein Frankfurt,Werder Bremen,4,1,H,2,0,H,18,10,5,5,9,9,7,1,1,3,0,0,1.7,4.1,4.5,1.7,4,4.5,1.73,4.2,4.6,1.69,4,4.46,1.53,4.6,5.25,1.57,4.75,5.5,1.53,4.55,5.28
D1,23/08/2025,14:30,Freiburg,Augsburg,1,3,A,0,3,A,16,14,4,5,14,18,5,5,4,5,0,0,1.85,3.6,4.33,1.8,3.7,4.33,1.86,3.7,4.5,1.82,3.58,4.25,1.91,3.6,3.9,1.93,3.63,4.11,1.93,3.5,3.88
D1,23/08/2025,14:30,Heidenheim,Wolfsburg,1,3,A,1,1,D,7,15,2,5,12,12,2,5,2,3,0,0,3.2,3.5,2.2,3,3.6,2.25,3.2,3.6,2.25,3.05,3.51,2.2,2.8,3.3,2.55,2.84,3.47,2.58,2.74,3.38,2.5
D1,23/08/2025,14:30,Leverkusen,Hoffenheim,1,2,A,1,1,D,7,10,2,5,9,17,6,4,0,4,0,0,1.53,4.75,5.25,1.51,4.6,5.75,1.56,4.74,5.46,1.5,4.63,5.56,1.73,4.2,4.1,1.76,4.25,4.41,1.71,4.15,4.24
D1,23/08/2025,14:30,Union Berlin,Stuttgart,2,1,H,2,0,H,8,21,2,6,21,13,5,11,4,4,0,0,3.4,3.7,2.05,3.25,3.6,2.1,3.56,3.69,2.07,3.3,3.59,2.06,4.1,3.75,1.83,4.23,3.87,1.87,3.91,3.78,1.85
D1,23/08/2025,17:30,St Pauli,Dortmund,3,3,D,0,1,A,11,8,7,7,13,12,5,2,2,3,0,1,4.5,3.9,1.75,4.5,3.9,1.73,4.82,3.79,1.77,4.52,3.85,1.71,4.2,3.7,1.9,4.13,3.64,1.95,4.04,3.65,1.86
D1,24/08/2025,14:30,Mainz,FC Koln,0,1,A,0,0,D,19,12,2,2,7,9,8,3,0,2,1,0,1.9,3.7,4,1.85,3.7,4.1,1.93,3.7,4.07,1.86,3.61,3.95,1.95,3.6,3.7,1.96,3.63,4.12,1.96,3.6,3.7
D1,24/08/2025,16:30,M'gladbach,Hamburg,0,0,D,0,0,D,17,7,4,2,10,10,7,6,2,1,0,0,1.85,3.9,3.9,1.87,3.9,3.75,1.86,4.06,3.96,1.82,3.92,3.78,1.95,3.8,3.5,2,4.02,4.03,1.89,3.87,3.65
D1,29/08/2025,19:30,Hamburg,St Pauli,0,2,A,0,1,A,5,17,2,6,13,19,2,5,3,3,1,0,2.4,3.3,3,2.37,3.3,3,2.45,3.29,3.12,2.39,3.26,2.99,2.45,3.2,3,2.49,3.18,3.2,2.42,3.22,2.97
