Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
F1,15/08/2025,19:45,Rennes,Marseille,1,0,H,0,0,D,12,24,5,2,8,11,1,12,2,3,1,0,3.5,3.6,2.05,3.4,3.5,2.05,3.64,3.58,2.11,3.46,3.52,2.04,3.9,3.6,1.91,3.99,3.69,1.97,3.8,3.58,1.93
F1,16/08/2025,16:00,Lens,Lyon,0,1,A,0,1,A,18,11,5,3,13,20,13,8,2,3,0,0,2.3,3.6,2.9,2.25,3.6,2.9,2.35,3.63,3.02,2.29,3.56,2.87,2.45,3.5,2.7,2.41,3.61,2.98,2.43,3.47,2.75
F1,16/08/2025,18:00,Monaco,Le Havre,3,1,H,1,0,H,13,9,3,4,5,14,5,4,0,1,0,0,1.33,5.25,8,1.36,5.25,7.75,1.34,5.61,8.59,1.33,5.23,8.08,1.22,7,11,1.24,6.79,12.26,1.21,6.63,11.97
F1,16/08/2025,20:05,Nice,Toulouse,0,1,A,0,0,D,13,10,2,2,12,13,9,4,2,3,0,0,2.1,3.3,3.6,2.15,3.4,3.3,2.12,3.45,3.69,2.08,3.34,3.47,1.91,3.4,4.1,2,3.36,3.77,1.95,3.39,3.9
F1,17/08/2025,14:00,Brest,Lille,3,3,D,1,2,A,18,10,5,6,11,13,2,2,2,1,0,0,3.3,3.4,2.2,3.2,3.5,2.15,3.36,3.48,2.23,3.22,3.41,2.16,2.45,3.25,2.9,2.71,3.23,2.87,2.55,3.3,3.13
F1,17/08/2025,16:15,Angers,Paris FC,1,0,H,1,0,H,8,17,2,7,14,10,3,7,2,1,1,0,2.63,3.2,2.8,2.6,3.2,2.75,2.75,3.17,2.83,2.62,3.12,2.74,3.1,3.25,2.35,3.24,3.46,2.33,3.04,3.27,2.4
F1,17/08/2025,16:15,Auxerre,Lorient,1,0,H,0,0,D,7,14,3,3,18,14,4,5,3,2,0,0,2.38,3.3,3,2.35,3.4,2.9,2.4,3.46,3.06,2.32,3.35,2.96,2.55,3.2,2.88,2.47,3.29,3.14,2.49,3.18,2.88
F1,17/08/2025,16:15,Metz,Strasbourg,0,1,A,0,0,D,2,9,0,4,16,13,3,3,2,2,0,0,3.2,3.4,2.25,3,3.4,2.3,3.23,3.48,2.29,3.03,3.38,2.26,3.75,3.5,2,3.52,3.53,2.17,3.62,3.47,2.01
F1,17/08/2025,19:45,Nantes,Paris SG,0,1,A,0,0,D,6,18,0,4,6,6,2,7,1,1,0,0,7.5,5.5,1.36,7.75,5.75,1.34,8.26,5.72,1.35,7.97,5.43,1.32,13,7,1.2,11.14,6.54,1.26,12.38,6.71,1.21
F1,22/08/2025,19:45,Paris SG,Angers,1,0,H,0,0,D,21,3,4,0,3,9,12,0,0,0,0,0,1.08,12,21,1.1,11.5,26,1.1,12.5,27,1.08,11.06,24.94,1.06,13,23,1.09,12.48,27.07,1.06,11.97,29.25
