Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,08/08/2025,19:00,For Sittard,Go Ahead Eagles,2,2,D,1,1,D,36,6,8,2,10,9,8,5,2,2,0,1,2.63,3.6,2.5,2.65,3.6,2.5,2.73,3.43,2.56,2.66,3.44,2.5,2.6,3.5,2.55,3.15,3.58,2.29,2.74,3.48,2.45
N1,09/08/2025,15:30,Nijmegen,Excelsior,5,0,H,1,0,H,15,9,10,6,14,14,7,2,1,1,0,0,1.75,4,4.33,1.77,3.75,4.4,1.75,3.9,4.46,1.75,3.73,4.39,1.62,4.33,4.75,1.74,4.26,4.45,1.65,4.18,4.59
N1,09/08/2025,17:45,Feyenoord,NAC Breda,2,0,H,1,0,H,20,7,4,0,10,13,3,4,1,1,0,0,1.18,8.5,11,1.18,8,14,1.16,7.99,13.87,1.16,7.56,13.94,1.38,5.25,7,1.27,6.48,9.76,1.33,5.31,8.06
N1,09/08/2025,19:00,Heerenveen,Volendam,1,1,D,1,0,H,18,5,6,3,8,9,9,2,1,1,0,0,1.57,4.2,5.5,1.6,4.1,5.25,1.58,4.19,5.4,1.57,4.03,5.4,1.65,4.2,5,1.65,4.15,5.29,1.59,4.21,5.15
N1,09/08/2025,20:00,PSV Eindhoven,Sparta Rotterdam,6,1,H,3,0,H,22,8,12,4,8,2,8,5,1,1,0,0,1.2,7.5,11,1.21,7,13,1.19,7.25,11.58,1.18,6.99,12.69,1.18,7.5,13,1.21,7.59,11.67,1.19,7.34,12
N1,10/08/2025,11:15,Zwolle,Twente,1,0,H,1,0,H,7,16,2,4,14,15,2,4,4,1,0,0,4,3.6,1.91,3.7,3.7,1.95,3.75,3.66,1.95,3.73,3.57,1.92,3.25,3.6,2.1,3.8,3.78,1.97,3.46,3.63,2.01
N1,10/08/2025,13:30,Ajax,Telstar,2,0,H,1,0,H,15,18,7,5,9,12,8,10,0,0,0,0,1.17,7.5,17,1.17,8,15,1.15,8.51,13.84,1.15,7.78,15.16,1.2,6.5,13,1.14,9.58,17.61,1.18,7.28,13.06
N1,10/08/2025,13:30,AZ Alkmaar,Groningen,4,1,H,3,1,H,10,11,5,8,11,12,6,1,2,2,0,0,1.53,4.33,6,1.53,4.4,5.75,1.51,4.37,6,1.5,4.32,5.91,1.33,5.5,9,1.4,5,8.12,1.31,5.34,9.02
N1,10/08/2025,15:45,Utrecht,Heracles,4,0,H,1,0,H,19,10,7,3,10,16,4,4,1,2,0,0,1.55,4.5,5.5,1.57,4.33,5.5,1.55,4.27,5.67,1.52,4.3,5.55,1.53,4.33,6,1.58,4.2,5.98,1.54,4.16,5.79
N1,15/08/2025,19:00,Telstar,Zwolle,0,2,A,0,1,A,11,10,5,3,13,10,7,0,3,3,0,0,2.55,3.4,2.7,2.6,3.4,2.6,2.68,3.49,2.68,2.61,3.4,2.55,2.5,3.5,2.7,2.55,3.59,2.76,2.52,3.41,2.67
N1,16/08/2025,17:45,Excelsior,Feyenoord,1,2,A,1,2,A,8,16,2,8,17,8,5,6,0,1,0,0,5,4.5,1.45,5.75,4.8,1.49,5.45,4.85,1.5,5.83,4.72,1.46,5.5,5,1.5,6.19,4.63,1.51,6.17,4.63,1.46
N1,16/08/2025,19:00,Heracles,Nijmegen,1,4,A,1,1,D,13,24,6,11,9,11,3,7,2,2,1,0,2.8,3.5,2.4,2.75,3.5,2.45,2.83,3.45,2.46,2.78,3.41,2.41,3,3.5,2.3,2.71,3.54,2.62,2.89,3.45,2.34
N1,16/08/2025,20:00,Groningen,Heerenveen,2,1,H,1,1,D,8,16,5,5,9,15,3,8,4,2,0,0,2.2,3.5,3.2,2.2,3.5,3.2,2.24,3.45,3.19,2.19,3.36,3.18,2.25,3.4,3.25,2.16,3.44,3.57,2.17,3.33,3.31
N1,17/08/2025,11:15,Go Ahead Eagles,Ajax,2,2,D,2,2,D,9,22,4,11,9,12,6,9,1,2,0,0,3.9,4.1,1.8,4,4.2,1.77,4.07,4.02,1.79,3.94,4.05,1.76,3.7,3.9,1.9,3.93,3.99,1.8,3.72,3.95
N1,17/08/2025,13:30,Sparta Rotterdam,Utrecht,2,1,H,1,0,H,15,20,5,5,9,11,5,6,1,3,0,0,2.6,3.7,2.5,2.55,3.7,2.5,2.63,3.69,2.51,2.6,3.62,2.45,2.5,3.5,2.7,2.49,3.55,2.86,2.49,3.43,2.7
N1,17/08/2025,13:30,Twente,PSV Eindhoven,0,2,A,0,1,A,19,15,4,4,10,12,8,6,1,2,0,0,4.75,4.75,1.57,4.75,4.6,1.6,4.82,4.73,1.57,4.76,4.69,1.55,4.75,4.75,1.57,5,4.58,1.62,4.89,4.55
N1,17/08/2025,15:45,Volendam,AZ Alkmaar,2,2,D,1,1,D,8,19,3,3,10,10,3,4,1,3,0,0,5,4.5,1.57,4.6,4.5,1.63,5.08,4.52,1.57,4.87,4.51,1.56,6,5,1.44,6.93,5.23,1.42,6.62,5.24
N1,17/08/2025,19:00,NAC Breda,For Sittard,2,1,H,1,0,H,14,10,6,4,8,15,4,5,2,3,0,0,2.3,3.25,3.2,2.3,3.4,3.1,2.34,3.34,3.11,2.24,3.32,3.11,2.38,3.25,3.1,2.33,3.31,3.32,2.3,3.31,3.07
