Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
P1,08/08/2025,20:15,Casa Pia,Sp Lisbon,0,2,A,0,1,A,7,27,2,12,14,11,2,9,4,1,0,0,9,5,1.33,8.5,5,1.33,9.76,5.35,1.3,9.14,5.11,1.3,8.5,5.5,1.3,9.86,5.38,1.33,8.71,5.13,1.31
P1,09/08/2025,15:30,Nacional,Gil Vicente,0,2,A,0,2,A,15,12,4,2,21,16,14,6,3,6,0,0,2.5,3.1,2.9,2.4,3.25,2.8,2.51,3.19,2.96,2.44,3.15,2.84,2.63,2.88,3,2.8,2.92,2.99,2.6,2.9,2.89
P1,09/08/2025,20:30,Arouca,AVS,3,1,H,1,0,H,9,15,4,2,13,17,4,5,2,0,0,0,1.83,3.5,4.33,1.85,3.5,4.1,1.84,3.54,4.41,1.82,3.49,4.17,1.7,3.6,5,1.74,3.67,5.34,1.72,3.57,4.71
P1,10/08/2025,17:00,Famalicao,Santa Clara,3,0,H,2,0,H,6,8,3,2,20,15,2,3,4,2,0,0,2.4,3,3.2,2.4,3.1,2.95,2.41,3.17,3.13,2.38,3.11,2.97,2.25,3,3.6,2.37,3.06,3.52,2.17,3.03,3.51
P1,10/08/2025,20:30,Moreirense,Alverca,2,1,H,1,1,D,10,7,3,2,15,5,6,2,3,1,0,0,2.1,3.2,3.6,2.05,3.3,3.5,2.13,2.99,4.04,2.12,3.3,3.6,1.91,3.3,4.1,2.04,3.17,4.38,1.91,3.23,4.1
P1,10/08/2025,20:30,Sp Braga,Tondela,3,0,H,2,0,H,8,7,6,3,10,9,5,3,1,3,0,0,1.4,4.5,8,1.37,4.8,7.75,1.4,4.92,8.56,1.36,4.63,7.88,1.5,4,6.5,1.41,4.81,8.24,1.48,4.18,6.31
P1,11/08/2025,18:45,Estoril,Estrela,1,1,D,1,0,H,8,9,3,5,13,16,4,4,4,1,0,0,1.85,3.5,4.2,1.9,3.4,3.9,1.88,3.53,4.17,1.89,3.49,3.83,1.7,3.6,4.6,1.84,3.52,4.79,1.72,3.52,4.76
P1,11/08/2025,20:45,Porto,Guimaraes,3,0,H,2,0,H,17,10,9,2,18,9,7,4,1,3,0,0,1.57,3.9,5.75,1.58,4,5.25,1.56,3.92,6.2,1.57,3.93,5.41,1.4,4,6.5,1.54,4.21,6.66,1.42,4.42,6.82
P1,15/08/2025,15:30,AVS,Casa Pia,0,2,A,0,1,A,10,10,3,5,20,20,1,3,4,5,0,0,2.9,3,2.63,2.75,3,2.6,2.79,3.18,2.78,2.74,3.05,2.59,2.75,2.9,2.88,2.94,3.13,2.68,2.71,3,2.67
P1,16/08/2025,15:30,Tondela,Famalicao,0,1,A,0,0,D,15,14,4,5,17,19,2,7,0,1,0,0,2.88,3.2,2.45,2.85,3.1,2.5,2.96,3.21,2.5,2.82,3.17,2.46,4.1,3.3,1.95,4.75,3.47,1.86,3.98,3.26
P1,16/08/2025,18:00,Guimaraes,Estoril,3,2,H,1,1,D,16,11,4,5,18,17,4,2,4,3,0,0,1.7,3.6,5,1.68,3.7,4.8,1.68,3.75,5.14,1.67,3.67,4.85,1.8,3.3,3.9,1.79,3.73,4.75,1.79,3.55,4.19
P1,16/08/2025,20:30,Estrela,Benfica,0,1,A,0,0,D,15,14,2,3,14,23,5,4,3,3,0,0,13,6.5,1.2,13.5,6.75,1.2,13.61,6.73,1.19,13.63,6.6,1.18,13,6.5,1.2,12.69,6.43,1.24,12.59,6.41
P1,17/08/2025,15:30,Rio Ave,Nacional,1,1,D,1,0,H,20,13,9,6,16,18,6,6,2,4,0,1,2.25,3.2,3.2,2.3,3.25,3,2.32,3.24,3.22,2.28,3.22,3.01,2.15,3.25,3.5,2.33,3.28,3.35,2.14,3.25,3.32
P1,17/08/2025,18:00,Alverca,Sp Braga,0,3,A,0,3,A,12,12,3,6,15,6,1,5,2,1,0,0,5.25,3.9,1.62,5,3.7,1.66,5.31,3.82,1.65,5.01,3.72,1.64,5.5,3.9,1.6,5.71,3.97,1.64,5.38,3.75
P1,17/08/2025,18:00,Santa Clara,Moreirense,0,1,A,0,1,A,12,6,3,2,20,18,3,0,4,5,0,0,1.9,3.2,4.5,1.9,3.1,4.4,1.88,3.22,4.73,1.87,3.12,4.5,1.9,3.1,4.75,2.04,3.08,4.56,1.89,3.05,4.55
P1,17/08/2025,20:30,Sp Lisbon,Arouca,6,0,H,3,0,H,19,7,10,1,7,7,6,1,1,0,0,1,1.29,6,8.5,1.27,5.75,10,1.27,5.94,9.75,1.25,5.68,10.08,1.18,7,13,1.2,7.39,13.78,1.16,7.14,13.31
P1,18/08/2025,20:15,Gil Vicente,Porto,0,2,A,0,1,A,14,15,2,4,9,20,1,5,2,4,0,0,6,4.33,1.5,6.5,4.2,1.47,5.96,4.5,1.5,6.33,4.24,1.47,7.5,4.5,1.4,7.61,4.68,1.44,7.61,4.52
P1,23/08/2025,16:00,Moreirense,Guimaraes,2,0,H,0,0,D,10,11,4,4,17,17,3,7,5,2,0,0,3.3,3.25,2.2,3.3,3.2,2.2,3.44,3.21,2.23,3.36,3.14,2.17,3,3.2,2.4,3.12,3.14,2.54,3,3.05,2.42
P1,23/08/2025,18:00,Nacional,Sp Lisbon,1,4,A,1,0,H,3,27,1,7,18,7,3,13,3,2,1,0,9,6,1.27,9.5,5.75,1.27,9.65,6,1.26,9.58,5.79,1.25,11,6.25,1.22,10.93,6.34,1.26,11.36,6.21,1.21
P1,23/08/2025,20:30,Arouca,Rio Ave,3,3,D,1,0,H,14,15,6,7,13,17,4,2,3,2,0,0,2,3.25,3.9,2,3.4,3.6,2.03,3.44,3.77,2,3.39,3.62,2.3,3.2,3.2,2.37,3.31,3.24,2.22,3.29,3.14
